S1_ZINDO,S1_TDDFT,S1_ML
3.5068,4.1849,4.10648161360678
3.2018,3.6124,3.57545566376606
3.3354,3.8976,3.78834053665793
3.1934,3.5102,3.71621441722367
3.731,4.7197,4.55883175950771
2.9521,3.5839,3.85867556880104
3.1692,3.6612,3.58911869001184
3.6959,3.9336,4.03791001699262
2.492,3.4109,3.49478585408151
2.4881,3.3353,3.35898894651379
3.5003,4.3271,4.29509993691741
3.5172,4.513,4.41096148830521
2.793,3.7278,3.62173766869878
3.9298,4.7418,4.73267364224316
2.9933,3.0351,3.14125877385509
2.9481,3.989,3.83517107708266
3.1191,4.125,4.22563106812719
2.4675,3.3385,3.34013684301966
3.4958,4.023,4.30867184976848
2.5042,3.1787,3.34719501343465
2.5001,4.4382,3.61985286341659
3.8412,4.4735,4.40747365021489
3.925,4.4332,4.56922987859958
3.2993,4.0001,3.98203753676202
3.6157,4.6364,4.36472385001763
3.491,4.1017,4.27644297299335
3.5573,4.1159,4.27408242316259
3.4173,4.3613,4.13465253461962
2.491,3.3473,3.34675464890424
3.0768,3.4751,3.27581209999306
2.4912,3.3872,3.23575432953314
4.2098,5.2312,5.35088022857118
2.9647,3.6605,3.47119700173867
2.4766,3.3789,3.16650806538153
3.64,4.3942,4.33805931233109
3.2635,3.7481,3.63156151401358
3.2892,4.0464,3.94479560833169
3.2854,4.0505,3.97299977461923
3.2887,4.0546,4.19872213972068
3.4049,3.7314,3.75802484101331
3.8944,4.9161,4.85951829356653
3.7326,4.7201,4.65529906029393
3.3661,3.8244,3.99696451330267
3.6627,4.3855,4.3405582683725
3.7581,4.4005,4.14753598283704
3.501,4.3707,4.50533657533064
3.3977,4.5735,4.40195777418275
3.7117,4.2493,4.55029689220175
2.9933,3.6373,3.68859827225641
3.334,4.1018,4.40016452806081
3.863,5.4248,4.71823184405075
2.5113,3.3595,3.37185779903937
3.6259,4.0291,4.30318712616565
3.3883,3.8022,3.8958899459809
2.5171,3.3728,3.3553408509478
3.9393,5.1811,4.89068347175414
3.18,3.6156,3.7239213159184
3.7253,4.9478,4.73693990064788
3.299,4.0285,4.23389931602438
2.908,3.2793,3.47608851332015
3.346,4.162,4.0854132590856
4.0849,5.5739,5.22622972918166
4.2704,5.086,5.08432315857665
2.409,3.0687,3.00557002443889
3.1896,3.458,3.61083940677073
3.4969,4.3005,4.4326925257476
2.508,3.3623,3.43691276421445
2.9587,3.1611,3.31701354363976
3.0553,3.7709,4.05050956168655
3.1787,3.5542,3.46305932392376
3.938,5.1425,4.89675376755072
3.6723,4.8559,4.87220809155434
3.7003,4.9206,4.88383111269925
3.4067,4.2508,4.58839512628319
3.6024,4.2844,4.58501640650654
2.8741,3.1488,3.34671331398864
2.9716,3.4588,3.67179387188021
3.1685,4.2627,4.15863172524972
3.9106,4.4258,4.75936960273889
3.3263,3.8538,3.75706721041857
3.2804,4.1587,3.93751485481628
